,name,ratting,reviews,salaries,company_details
325,Tractors and Farm Equipment,4.1,2k,8.1k,Industrial Machinery | Chennai +169 other locations
326,Simplex Infrastructures,3.3,2k,5.9k,Engineering & Construction | Kolkata +134 other locations
327,ACT Fibernet,4.0,2k,7.4k,Telecom | Bengaluru/Bangalore +46 other locations
328,ZS,3.4,2k,17.3k,Management Consulting | Evanston +13 other locations
329,Dalmia Bharat Cement,4.0,2k,8k,Building Material | Delhi/NCR +214 other locations
330,Lava International,4.1,2k,4.6k,Consumer Electronics & Appliances | Noida +216 other locations
331,Himalaya Wellness,4.1,2k,6.2k,San Francisco +203 other locations
332,VVDN Technologies,3.6,2k,11.4k,IT Services & Consulting | Gurgaon +36 other locations
333,Tata Elxsi,3.9,1.9k,19.2k,IT Services & Consulting | Bangalore/Bengaluru +27 other locations
334,SRF,4.2,1.9k,8k,Chemicals | Gurgaon/Gurugram +54 other locations
335,Blue Star,4.1,1.9k,9.1k,Consumer Electronics & Appliances | Mumbai +136 other locations
336,Shell,4.1,1.9k,13.4k,Oil & Gas | London +80 other locations
337,Citicorp,3.7,1.9k,21.9k,Financial Services | Mumbai +23 other locations
338,V-Mart,4.2,1.9k,4.3k,Retail | Gurgaon/Gurugram +253 other locations
339,Ajanta Pharma,4.0,1.9k,8.5k,Pharma | Mumbai +105 other locations
340,State Street Syntel,3.7,1.9k,9.6k,Financial Services | Mumbai +22 other locations
341,Sonalika Tractors,3.7,1.9k,8.4k,Automobile | Hoshiarpur +159 other locations
342,NoBroker,3.2,1.9k,8.8k,Real Estate | Bangalore +38 other locations
343,Aditya Birla Group,4.1,1.9k,10.4k,Building Material | Mumbai +230 other locations
344,Mahindra Rural Housing Finance,4.0,1.9k,4.9k,NBFC | Mumbai +427 other locations
345,Lifestyle,4.4,1.9k,6.8k,Retail | Bangalore/Bengaluru +118 other locations
346,Ola Cabs,3.4,1.9k,10.9k,Internet | Bangalore +95 other locations
347,Movate,3.3,1.9k,14k,IT Services & Consulting | Plano +31 other locations
348,Datamatics Global Services,3.5,1.9k,11.7k,IT Services & Consulting | Mumbai +29 other locations
349,Extramarks Education,3.4,1.9k,8.1k,EdTech | Noida +105 other locations
350,Kalyan Jewellers,4.7,1.9k,1.4k,Jewellery | Kangra +137 other locations
351,suzuki motor gujarat,4.3,1.9k,7.1k,Automobile | Bhubaneswar +100 other locations
352,Kansai Nerolac Paints,3.9,1.9k,6.8k,Chemicals | Mumbai +194 other locations
353,Info Edge,4.0,1.9k,10.7k,Internet | Noida +61 other locations
354,MSN Laboratories,3.7,1.9k,7.9k,Hyderabad/Secunderabad +78 other locations
355,Parle Agro,4.1,1.9k,6.5k,Beverage | Mumbai +201 other locations
356,Delhi Public School,3.9,1.9k,5.4k,Greater Noida +244 other locations
357,Cholamandalam MS General Insurance,3.9,1.9k,5.8k,Insurance | Chennai +338 other locations
358,Ninjacart,4.0,1.9k,5.8k,Internet | Bangalore +99 other locations
359,Eureka Forbes,3.7,1.9k,5.7k,Consumer Electronics & Appliances | Mumbai +165 other locations
360,Unacademy,3.0,1.8k,9.6k,EdTech | Bangalore +63 other locations
361,Cloudnine Hospital,4.4,1.8k,2.4k,Bangalore +32 other locations
362,Foundever,3.6,1.8k,7.1k,Miami +16 other locations
363,Radisson Hotels,4.0,1.8k,5.5k,Minnetonka +110 other locations
364,Blinkit,3.8,1.8k,8.7k,Internet | Gurgaon +69 other locations
365,3i Infotech,3.5,1.8k,10.8k,IT Services & Consulting | Mumbai +110 other locations
366,Emcure Pharmaceuticals,3.8,1.8k,8.1k,Pune +100 other locations
367,Jindal Stainless,4.2,1.8k,9.4k,Iron & Steel | Delhi/NCR +59 other locations
368,Nokia Networks,4.3,1.8k,11.9k,Hardware & Networking | Rajkot +82 other locations
369,Cybage,3.9,1.8k,17.1k,IT Services & Consulting | Pune +9 other locations
370,Mahindra Holidays & Resorts,3.5,1.8k,6.2k,Hospitality | Mumbai +99 other locations
371,ICICI Securities,3.9,1.8k,9k,Financial Services | Mumbai +127 other locations
372,Syngene International,3.9,1.8k,11.5k,Clinical Research | Bangalore/Bengaluru +17 other locations
373,Google,4.4,1.8k,21k,Software Product | Mountain View +79 other locations
374,BT Group,4.0,1.8k,11k,London +17 other locations
375,Life Insurance Corporation of India,4.4,1.8k,4.4k,Insurance | Mumbai +426 other locations
376,Biocon Limited,3.9,1.8k,11.5k,Biotechnology | Bangalore Rural +56 other locations
377,Planet Spark,3.7,1.8k,3k,EdTech | Gurgaon +41 other locations
378,Akums Drugs & Pharmaceuticals Limited,4.3,1.8k,6k,Pharma | Delhi/NCR +31 other locations
379,JCB,4.0,1.8k,8.9k,Rocester +95 other locations
380,Gallagher,3.8,1.8k,11.4k,Insurance | Rolling Meadows +21 other locations
381,Cadila Pharmaceuticals,3.5,1.8k,7.2k,Pharma | Ahmedabad +117 other locations
382,Myntra,4.0,1.8k,9.9k,Internet | Bangalore +97 other locations
383,upGrad,3.8,1.8k,8.2k,EdTech | San Francisco +40 other locations
384,GlaxoSmithKline Pharmaceuticals,4.1,1.8k,5.5k,Pharma | Brentford +188 other locations
385,Indian Railways,4.1,1.8k,3.4k,Railways | Delhi/NCR +216 other locations
386,Care Health Insurance,3.7,1.7k,8k,Insurance | Gurgaon +205 other locations
387,Canara HSBC Life Insurance,3.7,1.7k,6.2k,Insurance | Gurgaon/Gurugram +261 other locations
388,Adani Power,3.9,1.7k,8.2k,Power | Ahmedabad +93 other locations
389,Intellect Design Arena,4.0,1.7k,11.9k,Software Product | Chennai +32 other locations
390,Bharat Financial Inclusion,3.9,1.7k,4.2k,NBFC | Hyderabad +378 other locations
391,Reliance Trends,4.3,1.7k,4.3k,Retail | Navi Mumbai +346 other locations
392,Fincare Small Finance Bank,4.1,1.7k,6.2k,Banking | Bangalore +381 other locations
393,IntouchCX,3.0,1.7k,7.9k,BPO | Winnipeg +18 other locations
394,Pfizer,4.0,1.7k,5.9k,Pharma | Chennai +116 other locations
395,Sobha,3.9,1.7k,7.8k,Real Estate | Bangalore/Bengaluru +35 other locations
396,Rivigo,3.9,1.7k,6.2k,Internet | Gurgaon +152 other locations
397,Whirlpool,4.1,1.7k,7.8k,Consumer Electronics & Appliances | Michigan +145 other locations
398,RMSI,3.6,1.7k,7.8k,IT Services & Consulting | Noida +18 other locations
399,DBS Bank,3.9,1.7k,12.3k,Banking | Mumbai +147 other locations
400,DBS Bank,3.9,1.7k,12.3k,Banking | Mumbai +147 other locations
401,Renault-Nissan,4.2,1.7k,7.7k,Chennai +74 other locations
402,Aavas Financiers,3.9,1.7k,5.6k,NBFC | Jaipur +246 other locations
403,Raymond Lifestyle Limited,4.2,1.7k,7k,Fashion & Textile | New York +130 other locations
404,Shahi Exports,4.0,1.7k,6.8k,Fashion & Textile | Faridabad +60 other locations
405,Photon Interactive,4.1,1.7k,6.8k,IT Services & Consulting | London +11 other locations
406,Sopra Steria,3.9,1.7k,13.9k,IT Services & Consulting | Paris +14 other locations
407,Bharti AXA Life Insurance,3.9,1.7k,5.3k,Insurance | Mumbai +224 other locations
408,ESAF Small Finance Bank,3.8,1.7k,6.4k,Banking | Thrissur/Trichur +319 other locations
409,Star Health & Allied Insurance,3.8,1.7k,8k,Insurance | Chennai +265 other locations
410,Future Retail,4.3,1.7k,5.4k,Retail | San Francisco +197 other locations
411,Endurance Technologies,3.9,1.7k,7.3k,Auto Components | Aurangabad +44 other locations
412,Ambuja Cements,3.9,1.7k,5.9k,Building Material | Mumbai +209 other locations
413,BHEL,4.2,1.7k,5.1k,Electrical Equipment | Bangalore/Bengaluru +96 other locations
414,Bharat Petroleum,4.2,1.7k,6.5k,Oil & Gas | Mumbai +232 other locations
415,GVK Emergency Management and Research Institute,3.6,1.7k,4.4k,Hyderabad/Secunderabad +162 other locations
416,Lodha Group,4.1,1.7k,7.9k,Real Estate | Mumbai +22 other locations
417,Straive,3.4,1.7k,9k,Analytics & KPO | Singapore +24 other locations
418,Hero FinCorp,4.1,1.7k,5.1k,NBFC | Delhi +342 other locations
419,Bureau Veritas,4.0,1.7k,7.5k,Logistics | Paris La Défense +117 other locations
420,Kia Motors,3.9,1.7k,7.3k,Automobile | Seoul +151 other locations
421,Alldigi Tech,3.9,1.7k,6.8k,BPO | Irving +29 other locations
422,Force Motors,3.6,1.6k,7.9k,Automobile | Pune +86 other locations
423,Optum Global Solutions,4.1,1.6k,9.7k,IT Services & Consulting | Gurgaon / Gurugram +14 other locations
424,Varroc Group,3.7,1.6k,6.5k,Auto Components | Aurangabad +37 other locations
425,Xoriant,4.0,1.7k,11.4k,IT Services & Consulting | Sunnyvale +21 other locations
426,American Broadcasting Company,4.0,1.6k,28.6k,Indi +99 other locations
427,Poonawalla Fincorp,3.8,1.6k,5.1k,NBFC | Mumbai +247 other locations
428,CAMS,3.7,1.6k,7.4k,Financial Services | Chennai +92 other locations
429,Bank of Baroda,3.6,1.6k,6.5k,Banking | Vadodara/Baroda +260 other locations
430,Laurus Labs,4.2,1.6k,6.8k,Pharma | Hyderabad/Secunderabad +20 other locations
431,Dhani Loans and Services,3.8,1.6k,5.2k,NBFC | New Delhi +179 other locations
432,Delphi TVS,4.0,1.6k,5.6k,Auto Components | Kanchipuram +42 other locations
433,Microsoft Corporation,4.1,1.6k,24.4k,Software Product | Sunnyvale +40 other locations
434,ITC Hotels,4.1,1.6k,5.4k,Kolkata +77 other locations
435,Cargill,4.1,1.6k,7.5k,Food Processing | Wayzata +98 other locations
436,Brakes India,4.0,1.6k,6.6k,Auto Components | Chennai +79 other locations
437,Meesho,3.7,1.6k,7.3k,Internet | Bengaluru/Bangalore +100 other locations
438,Niva Bupa Health Insurance Company,3.7,1.6k,7.1k,Insurance | Delhi/NCR +202 other locations
439,ValueLabs,3.8,1.6k,15.5k,IT Services & Consulting | Hyderabad / Secunderabad +16 other locations
440,Coromandel International,4.1,1.6k,6.9k,Agro Chemicals | Hyderabad/Secunderabad +153 other locations
441,SAP,4.2,1.6k,15.3k,Software Product | Walldorf +46 other locations
442,Adani Wilmar,4.2,1.6k,6.2k,FMCG | Ahmedabad +161 other locations
443,Renault Nissan Technology & Business Centre India,3.8,1.6k,13.6k,Automobile | Chennai +15 other locations
444,KENT RO Systems,4.0,1.6k,4.5k,Consumer Electronics & Appliances | Noida +136 other locations
445,Tata Motors Finance,4.1,1.6k,4.6k,NBFC | Mumbai +233 other locations
446,Future Generali India Life Insurance,3.7,1.6k,6.6k,Insurance | Mumbai +174 other locations
447,Apollo Pharmacy,3.9,1.6k,5.6k,Chennai +221 other locations
448,Sify Technologies,3.9,1.6k,9.5k,IT Services & Consulting | Chennai +111 other locations
449,TCE,3.8,1.6k,7.9k,Engineering & Construction | Mumbai +112 other locations
450,Sterling & Wilson,4.1,1.5k,7.7k,Engineering & Construction | Mumbai +102 other locations
451,Allstate,3.9,1.5k,11.1k,Insurance | Bangalore/Bengaluru +9 other locations
452,Star Union Dai-ichi Life Insurance,3.9,1.5k,4.8k,Insurance | Navi Mumbai +248 other locations
453,CitiusTech,3.4,1.5k,13.1k,IT Services & Consulting | New Jersey +16 other locations
454,JK Tyres,3.7,1.5k,6.6k,Auto Components | New Delhi +131 other locations
455,Gabriel India,4.2,1.5k,5.6k,Auto Components | Pune +42 other locations
456,Matrimony.com,4.3,1.5k,4.3k,Internet | Chennai +56 other locations
457,GAO Tek,4.5,1.5k,194,Electrical Equipment | New York +25 other locations
458,YASH Technologies,3.8,1.5k,15.9k,IT Services & Consulting | East Moline +24 other locations
459,SBI General Insurance,3.7,1.5k,6k,Insurance | Mumbai +225 other locations
460,Tata Advanced Systems,3.8,1.5k,10k,Defence & Aerospace | Hyderabad/Secunderabad +42 other locations
461,IDBI Bank,3.6,1.5k,5.7k,Banking | Mumbai +292 other locations
462,SBI Securities,3.8,1.5k,6.1k,Financial Services | Mumbai +243 other locations
463,Citibank,3.9,1.5k,15.9k,Banking | New York +48 other locations
464,AECOM,4.3,1.5k,6.3k,Engineering & Construction | Dallas +111 other locations
465,Aditya Birla Capital,4.0,1.5k,8.1k,Financial Services | Mumbai +216 other locations
466,Power Mech Projects,3.9,1.5k,6.3k,Engineering & Construction | Hyderabad/Secunderabad +123 other locations
467,Lucas-TVS,4.0,1.5k,5.8k,Auto Components | Chennai +63 other locations
468,Spark Minda,3.9,1.5k,6.1k,Auto Components | Noida +60 other locations
469,Crisil,3.7,1.5k,11.5k,Analytics & KPO | Mumbai +60 other locations
470,L&T Energy Hydrocarbon,3.9,1.5k,8.2k,Engineering & Construction | Mumbai +73 other locations
471,Parle Products,4.0,1.5k,3.9k,FMCG | Mumbai +208 other locations
472,NeoSOFT,4.0,1.5k,9.4k,IT Services & Consulting | Mumbai +20 other locations
473,Exl India,3.5,1.5k,11.1k,IT Services & Consulting | New Delhi +27 other locations
474,Kotak Securities,3.7,1.5k,8.8k,Financial Services | Mumbai +122 other locations
475,Reliance General Insurance,3.8,1.5k,6.8k,Insurance | Mumbai +177 other locations
476,Novartis,4.1,1.5k,8.7k,Pharma | Switzerland +69 other locations
477,Thomson Reuters,4.1,1.5k,10.3k,Software Product | Toronto +24 other locations
478,Hindustan Aeronautics,4.3,1.5k,4.1k,Defence & Aerospace | Bangalore/Bengaluru +47 other locations
479,Uflex,3.8,1.5k,6.5k,Packaging | Noida +42 other locations
480,Dr Lal PathLabs,4.2,1.5k,4.3k,Healthcare | Gurgaon/Gurugram +158 other locations
481,Panasonic Life Solutions India,4.1,1.5k,5.6k,Consumer Electronics & Appliances | Gurgaon / Gurugram +119 other locations
482,Vedantu,3.4,1.5k,9.2k,EdTech | Bangalore +60 other locations
483,Sagility,3.9,1.5k,7k,BPO | Westminster +21 other locations
484,Tata Teleservices,4.1,1.5k,4.1k,Telecom | Mumbai +135 other locations
485,Taurus BPO Services,4.6,1.5k,802,BPO | Pune +14 other locations
486,Saint-Gobain,4.0,1.5k,9.6k,Engineering & Construction | Paris +94 other locations
487,HCL Infosystems,4.0,1.5k,8.9k,IT Services & Consulting | Noida +104 other locations
488,Safexpress,4.0,1.5k,5.3k,Logistics | Delhi/NCR +143 other locations
489,SGS,3.9,1.5k,5.9k,Other | Geneva +117 other locations
490,Microland,3.5,1.5k,11.1k,IT Services & Consulting | Bangalore +41 other locations
491,Frankfinn Institute of Air Hostess Training,4.0,1.4k,3.3k,Education & Training | Gurgaon/Gurugram +60 other locations
492,Biological E,4.3,1.4k,6.4k,Pharma | Hyderabad/Secunderabad +55 other locations
493,café Coffee day,3.8,1.4k,4.1k,Hospitality | Bengaluru +96 other locations
494,Philips,3.9,1.4k,10.4k,Consumer Electronics & Appliances | Amsterdam +84 other locations
495,Paisabazaar.com,3.5,1.4k,6.5k,Internet | Gurgaon/Gurugram +23 other locations
496,TVS Sundram Fasteners,3.8,1.4k,6.6k,Auto Components | Chennai +48 other locations
497,Mercedes-Benz Research and Development India,3.9,1.4k,16.1k,IT Services & Consulting | Bengaluru/Bangalore +46 other locations
498,SS&C TECHNOLOGIES,3.4,1.4k,12.4k,IT Services & Consulting | Windsor Locks +27 other locations
499,Physicswallah,3.8,1.4k,4.9k,EdTech | Noida +84 other locations
500,Honeywell Automation,3.8,1.4k,11.1k,Industrial Automation | Morris Plains +68 other locations
501,Henry Harvin Education,3.7,1.4k,713,Noida +25 other locations
502,G R Infraprojects,4.1,1.4k,5.1k,Engineering & Construction | Gurgaon/Gurugram +139 other locations
503,Narayana Health,4.2,1.4k,5.6k,Healthcare | Bangalore/Bengaluru +59 other locations
504,NEC,4.4,1.4k,5.6k,IT Services & Consulting | Noida +48 other locations
505,NCR Corporation,4.0,1.4k,8.8k,IT Services & Consulting | Atlanta +84 other locations
506,Aragen Life Sciences,4.1,1.4k,6k,Clinical Research | Hyderabad/Secunderabad +20 other locations
507,Honda Cars,4.4,1.4k,6.4k,Automobile | Datia +100 other locations
508,Ola Electric Mobility,3.2,1.4k,7.3k,Automobile | Bangalore +204 other locations
509,Fusion CX,3.5,1.4k,4.1k,Ohio +45 other locations
510,Nuvoco Vistas,4.2,1.4k,6.1k,Building Material | Mumbai +157 other locations
511,Team Computers,3.7,1.4k,7.9k,IT Services & Consulting | Delhi/NCR +87 other locations
512,Indian Navy,4.6,1.4k,3.5k,Defence & Aerospace | Delhi/NCR +61 other locations
513,BA Continuum,4.2,1.4k,10.7k,NBFC | Gurgaon/Gurugram +16 other locations
514,Morgan Stanley,3.7,1.4k,21.1k,Financial Services | New York +17 other locations
515,Medi Assist India,3.6,1.4k,6.9k,Insurance | Bangalore +56 other locations
516,MetLife,4.3,1.4k,8.1k,Insurance | New York +39 other locations
517,AXA Business Services,3.9,1.4k,7.1k,Insurance | Paris +9 other locations
518,FirstCry,3.7,1.4k,7.8k,Internet | Pune +160 other locations
519,Tata Play,4.0,1.4k,4.8k,Broadcasting | Mumbai +203 other locations
520,R.R. Donnelley,4.0,1.4k,9.5k,Marketing & Advertising | Chicago +13 other locations
521,Adani Group,3.9,1.4k,8.9k,Power | Ahmedabad +140 other locations
522,CMS Infosystems,3.6,1.4k,4.4k,Other | Mumbai +176 other locations
523,Tata Power,3.9,1.4k,7.1k,Power | Mumbai +128 other locations
524,Angel One,3.9,1.4k,7.1k,FinTech | Tikamgarh +115 other locations
525,Honda,4.2,1.4k,4.9k,Automobile | Greater Noida +203 other locations
526,BNP Paribas,3.9,1.4k,14.5k,Financial Services | Paris +24 other locations
527,Torrent Power,3.8,1.4k,7k,Power | Ahmedabad +43 other locations
528,Daikin,4.2,1.4k,6.5k,Consumer Electronics & Appliances | Osaka City +96 other locations
529,Adecco Group,3.7,1.4k,6.5k,Zurich +141 other locations
530,TaskUs,3.4,1.4k,6.5k,BPO | New Braunfels +24 other locations
531,Chegg,4.1,1.4k,3.6k,EdTech | Santa Clara +61 other locations
532,Innovsource Services,4.0,1.4k,4.4k,Recruitment | Mumbai +207 other locations
533,Metro Cash & Carry,4.2,1.4k,4.9k,Retail | Bangalore/Bengaluru +82 other locations
534,Globiva,3.2,1.4k,4.5k,BPO | Gurgaon/Gurugram +20 other locations
535,Amazon Transportation Services,4.1,1.4k,4.5k,Logistics | Seattle +130 other locations
536,PI Industries,4.1,1.4k,6.5k,Gurgaon/Gurugram +92 other locations
537,PHN Technology,4.6,1.4k,286,Hyderabad / Secunderabad +30 other locations
538,Iris Software,4.1,1.4k,7k,IT Services & Consulting | Edison +18 other locations
539,UBS,3.8,1.4k,14.9k,Financial Services | Zurich +17 other locations
540,USV,4.1,1.4k,5.3k,Mumbai +95 other locations
541,Reckitt Benckiser,4.0,1.4k,6k,FMCG | Slough +114 other locations
542,DHL Supply Chain,4.2,1.4k,5.5k,Logistics | Bonn +79 other locations
543,NTPC,4.2,1.4k,3.9k,Power | Delhi/NCR +103 other locations
544,Haier Appliances India,4.0,1.4k,6.2k,Consumer Electronics & Appliances | Qingdao +114 other locations
545,HERE Technologies,3.9,1.3k,7.6k,IT Services & Consulting | Eindhoven +14 other locations
546,CMA CGM,4.0,1.3k,8.2k,Ports & Shipping | Marseille +25 other locations
547,Procter & Gamble,4.2,1.3k,5.8k,FMCG | Cincinnati +221 other locations
548,Wockhardt,3.9,1.3k,4.4k,Pharma | Mumbai +78 other locations
549,Motherson Automotive Technologies and Engineering,3.9,1.3k,6.7k,Auto Components | Noida +56 other locations
550,USHA International,4.1,1.3k,4.7k,Consumer Electronics & Appliances | Gurgaon/Gurugram +120 other locations
551,XL Dynamics,3.2,1.3k,3.9k,IT Services & Consulting | Navi Mumbai +28 other locations
552,Credit Suisse,4.3,1.3k,15.9k,Financial Services | Zurich +11 other locations
553,Tata Communications Transformation Services,4.0,1.3k,8.4k,Telecom | Mumbai +86 other locations
554,KONE,4.2,1.3k,5.4k,Industrial Machinery | Chennai +66 other locations
555,Jindal Saw,4.0,1.3k,5.8k,Iron & Steel | Delhi/NCR +64 other locations
556,Yamaha Motor,4.1,1.3k,5.6k,Automobile | Iwata +133 other locations
557,Altruist Technologies,3.2,1.3k,7.2k,BPO | Chandigarh +36 other locations
558,Cavinkare,4.0,1.3k,5k,FMCG | Chennai +154 other locations
559,FactSet,4.0,1.3k,9.5k,Financial Services | Norwalk +16 other locations
560,Aadhar Housing Finance,4.1,1.3k,4k,Financial Services | Mumbai +270 other locations
561,Trident Group,3.4,1.3k,5.2k,Fashion & Textile | Ludhiana +48 other locations
562,Verizon,4.2,1.3k,10.8k,Telecom | Basking Ridge +9 other locations
563,DIVI'S Laboratories,3.8,1.3k,6.2k,Pharma | Hyderabad/Secunderabad +25 other locations
564,Johnson & Johnson,4.1,1.3k,5.9k,New Brunswick +149 other locations
565,DHL Express,4.1,1.3k,6k,Logistics | Bonn +85 other locations
566,HTC Global Services,3.6,1.3k,11.6k,IT Services & Consulting | Troy +26 other locations
567,Infinite Computer Solutions,3.3,1.3k,12.4k,IT Services & Consulting | Rockville  +30 other locations
568,BT Global Services,4.1,1.3k,8.9k,IT Services & Consulting | London +10 other locations
569,V-Guard Industries,4.3,1.3k,3.8k,Consumer Electronics & Appliances | Kochi/Cochin +138 other locations
570,Exela Technologies,3.4,1.3k,7.6k,IT Services & Consulting | Irving +19 other locations
571,Tata Group,4.2,1.3k,5.9k,IT Services & Consulting | Mumbai +160 other locations
572,First American Corporation,3.8,1.3k,8.3k,Insurance | Santa Ana +15 other locations
573,Arvind Group,4.0,1.3k,5.4k,Fashion & Textile | Ahmedabad +82 other locations
574,Big Bazaar,4.3,1.3k,3.6k,Retail | Mumbai +156 other locations
575,Isgec Heavy Engineering,3.8,1.3k,6.5k,Industrial Machinery | Noida +72 other locations
576,Mother Dairy Fruit & Vegetable,4.1,1.3k,4.8k,Food Processing | Noida +116 other locations
577,Honeywell Technology Solutions,3.8,1.3k,12.4k,Defence & Aerospace | Bangalore/Bengaluru +19 other locations
578,Sheenlac Paints,4.6,1.3k,1.6k,Chemicals | Chennai +157 other locations
579,Oracle Cerner,3.7,1.3k,11.2k,Software Product | Kansas +5 other locations
580,Hindustan Petroleum,4.2,1.3k,5.4k,Oil & Gas | Mumbai +210 other locations
581,Trent,4.1,1.3k,4k,Retail | Mumbai +116 other locations
582,Orange Business,4.3,1.3k,8.9k,IT Services & Consulting | Paris +46 other locations
583,Dainik Bhaskar Group,4.3,1.3k,4.5k,Printing & Publishing | Bhopal +132 other locations
584,HighRadius,2.9,1.3k,7.2k,FinTech | Houston +13 other locations
585,Polycab Wires,4.1,1.3k,6k,Electrical Equipment | Mumbai +130 other locations
586,Manipal Hospitals,4.2,1.3k,5.5k,Healthcare | Bangalore/Bengaluru +59 other locations
587,HDFC Securities,3.6,1.3k,5.4k,Mumbai +164 other locations
588,Bata,3.7,1.3k,3.8k,Fashion & Textile | Lausanne +127 other locations
589,Foxconn,4.0,1.3k,7.4k,Electronics Manufacturing | Taipei +45 other locations
590,EPAM Systems,3.7,1.3k,14.3k,IT Services & Consulting | Newtown +21 other locations
591,Spinny,3.8,1.3k,6k,Internet | Gurgaon +45 other locations
592,Relaxo Footwear,4.2,1.3k,4.1k,Fashion & Textile | New Delhi +133 other locations
593,Medanta the Medicity,4.1,1.3k,4.6k,Gurgaon +34 other locations
594,Vardhman Fabrics,4.0,1.2k,5.1k,Fashion & Textile | Ludhiana +50 other locations
595,Max Fashion,4.1,1.2k,3.5k,Retail | Abu Dhabi +136 other locations
596,IDC Technologies,3.3,1.2k,7.6k,IT Services & Consulting | Milpitas +60 other locations
597,Newgen Software Technologies,3.6,1.2k,10.7k,IT Services & Consulting | New Delhi +26 other locations
598,Security and Intelligence Services (India),4.2,1.2k,4.2k,Law Enforcement & Security | Delhi/NCR +166 other locations
599,Oberoi Group of Hotels,4.2,1.2k,4.1k,Hospitality | Delhi/NCR +31 other locations
600,Emami,4.0,1.2k,5k,FMCG | Kolkata +153 other locations
601,Shadowfax Technologies,3.6,1.2k,5.7k,Logistics | Bangalore +172 other locations
602,Jio Platforms,3.5,1.2k,9.5k,IT Services & Consulting | Meerut +76 other locations
603,Tesco,3.8,1.2k,8.1k,Retail | Bangalore Rural +14 other locations
604,Mercer,3.7,1.2k,9.4k,Management Consulting | New York +16 other locations
605,iOPEX Technologies,3.6,1.2k,5k,IT Services & Consulting | San Jose +15 other locations
606,Veritas Finance,4.7,1.2k,1.9k,NBFC | Chennai +261 other locations
607,AkzoNobel,4.2,1.2k,4k,Chemicals | Amsterdam +134 other locations
608,NextComm Corporation,4.9,1.2k,33,Ahmedabad +9 other locations
609,Hyatt Regency,4.2,1.2k,3.4k,Hospitality | New Delhi +45 other locations
610,NIIT,3.6,1.2k,6.3k,Education & Training | Mumbai Suburban +97 other locations
611,CG Power and Industrial Solutions,3.9,1.2k,6.2k,Electrical Equipment | Mumbai +81 other locations
612,TCS iON,3.9,1.2k,4.8k,IT Services & Consulting | Mumbai +102 other locations
613,Belrise Industries,3.8,1.2k,6.2k,Auto Components | Aurangabad +41 other locations
614,Bajaj Capital,3.9,1.2k,3.7k,Financial Services | Delhi/NCR +148 other locations
615,ICICI Home Finance,3.7,1.2k,4.5k,Financial Services | Mumbai +190 other locations
616,Marriott International,4.3,1.2k,4.9k,Hospitality | Bethesda +79 other locations
617,Aforeserve,3.4,1.2k,3.8k,IT Services & Consulting | Noida +149 other locations
618,L.G.Balakrishnan & Bros,3.6,1.2k,5.6k,Auto Components | Coimbatore +45 other locations
619,KFC,4.1,1.2k,3k,Louisville +150 other locations
620,Marico,4.0,1.2k,5.3k,FMCG | Mumbai +155 other locations
621,Aye Finance,4.2,1.2k,3k,FinTech | Delhi +271 other locations
622,Toyota Kirloskar Motor,4.4,1.2k,4k,Automobile | Bangalore/Bengaluru +77 other locations
623,Wipro Enterprises Ltd,3.9,1.2k,7.2k,FMCG | Bangalore +102 other locations
624,Bhushan Power & Steel,4.0,1.2k,4.5k,Iron & Steel | Delhi/NCR +52 other locations
625,Hero Motors Company,4.1,1.2k,5.7k,Automobile | New Delhi +203 other locations
626,Suguna Foods,4.0,1.2k,4k,Food Processing | Coimbatore +169 other locations
627,Aon,3.8,1.2k,5.6k,Financial Services | London +20 other locations
628,LivSpace,3.6,1.2k,7.1k,Architecture & Interior Design | Bangalore +42 other locations
629,Faurecia,3.9,1.2k,6.5k,Auto Components | Nanterre +28 other locations
630,Pine Labs,3.5,1.2k,6.2k,Financial Services | Noida +89 other locations
631,Exotic Learning,4.5,1.2k,378,EdTech | Lucknow +141 other locations
632,Welspun,4.1,1.2k,4.7k,Fashion & Textile | Mumbai +69 other locations
633,Chandigarh University,4.4,1.2k,2.4k,Mohali +45 other locations
634,Aditya Birla Health Insurance Co,3.9,1.2k,6k,Insurance | Mumbai +212 other locations
635,Haldiram Foods,3.8,1.2k,5.4k,FMCG | Noida +122 other locations
636,TTEC India,3.7,1.2k,4.5k,BPO | Englewood +25 other locations
637,Tietoevry,4.3,1.2k,9.3k,IT Services & Consulting | Helsinki +11 other locations
638,JioMart,3.9,1.2k,3.9k,Gwalior +271 other locations
639,Oracle Financial Services Software,3.6,1.2k,12.2k,Software Product | Mumbai +18 other locations
640,Muthoot Group,3.6,1.2k,4k,Financial Services | Wedel +274 other locations
641,Krishna Maruti,4.0,1.2k,4.9k,Auto Components | Gurgaon/Gurugram +37 other locations
642,Sigma Electric Manufacturing Corporation,4.0,1.2k,3.6k,Industrial Machinery | Garner +19 other locations
643,Cushman & Wakefield,4.2,1.2k,5.5k,Real Estate | Chicago +39 other locations
644,AB InBev India,3.4,1.2k,7.1k,Beverage | Leuven +67 other locations
645,FedEx Express,4.0,1.2k,4.3k,Logistics | 	Moon Township +91 other locations
646,Collabera Technologies,3.5,1.2k,7.9k,IT Services & Consulting | Basking Ridge +44 other locations
647,Satin Creditcare Network,4.0,1.1k,3.2k,NBFC | Gurgaon/Gurugram +247 other locations
